line_id,corporation,name,stops_total,stops_inside,stops_outside,stops_unknown,eligible,reason
3353,西鉄バス,西鉄バス・３・普通・安部山公園－サンリブ－上横代・舞ケ丘団地行,19,0,19,0,no,has_outside_stops
3356,西鉄バス,西鉄バス・１０・特快・連節バス－沼小前・恒見営行,15,0,15,0,no,has_outside_stops
3359,西鉄バス,西鉄バス・３４・普通・北方－山手一・志徳団地北行,19,0,19,0,no,has_outside_stops
3370,西鉄バス,西鉄バス・７４・普通・筑鉄中間－弥生－大辻・香月営行,19,0,19,0,no,has_outside_stops
3372,西鉄バス,西鉄バス・７４－１・普通・則松－泉ケ浦－永犬丸西・香月営行,34,0,34,0,no,has_outside_stops
3375,西鉄バス,西鉄バス・７４－１・普通・則松－皇后崎・西鉄黒崎ＢＣ行,31,0,31,0,no,has_outside_stops
3377,西鉄バス,西鉄バス・７４－１・普通・則松－泉ケ浦－養福寺・引野口行,39,0,39,0,no,has_outside_stops
3380,西鉄バス,西鉄バス・普通・ふれあい通り・西鉄黒崎ＢＣ行,2,0,2,0,no,has_outside_stops
3382,西鉄バス,西鉄バス・７４－１・普通・則松－皇后崎・西鉄黒崎ＢＣ行,22,0,22,0,no,has_outside_stops
3386,西鉄バス,西鉄バス・７３・普通・花尾町－祇園三・ＪＲ八幡駅行,27,0,27,0,no,has_outside_stops
3388,西鉄バス,西鉄バス・１９・普通・下曽根駅北口－寺迫口・九州労災病院行,29,0,29,0,no,has_outside_stops
3389,西鉄バス,西鉄バス・特急・香春町役場行,31,0,31,0,no,"has_outside_stops,name_blacklisted"
3392,西鉄バス,西鉄バス・１－２・普通・光陽台六行,17,0,17,0,no,has_outside_stops
3394,西鉄バス,西鉄バス・１－２・普通・福間海岸－東町・津屋崎橋行,11,0,11,0,no,has_outside_stops
3396,西鉄バス,西鉄バス・１－１・普通・ＪＲ福間駅行,14,0,14,0,no,has_outside_stops
3399,西鉄バス,西鉄バス・１－１・普通・津屋崎橋行,10,0,10,0,no,has_outside_stops
3407,西鉄バス,西鉄バス・１・普通・徳力団地南－ハローデイ徳力・中谷行,5,0,5,0,no,has_outside_stops
3410,西鉄バス,西鉄バス・１・普通・中谷行,28,0,28,0,no,has_outside_stops
3427,西鉄バス,西鉄バス・普通・早良営行,5,5,0,0,yes,ok
3428,西鉄バス,西鉄バス・１２・普通・小倉南区役所方面行,19,0,19,0,no,has_outside_stops
3430,西鉄バス,西鉄バス・９０・普通・中央二－枝光駅－戸畑駅・若松駅行,39,0,39,0,no,has_outside_stops
3431,西鉄バス,西鉄バス・１４３・普通・三萩野－歯大前－松尾町－都高・香月営行,30,0,30,0,no,has_outside_stops
3433,西鉄バス,西鉄バス・４６・普通・松尾町－歯大前－三萩野－小倉駅ＢＣ・砂津行,9,0,9,0,no,has_outside_stops
3434,西鉄バス,西鉄バス・４３・普通・スピナラソリエ高見店行,26,0,26,0,no,has_outside_stops
3439,西鉄バス,西鉄バス・４５・普通・小倉記念病院行,24,0,24,0,no,has_outside_stops
3440,西鉄バス,西鉄バス・４５・普通・山田緑地行,9,0,9,0,no,has_outside_stops
3441,西鉄バス,西鉄バス・４５・普通・岩鼻－木町－ソレイユ－魚町・小倉駅ＢＣ行,37,0,37,0,no,has_outside_stops
3442,西鉄バス,西鉄バス・４５・普通・南方三－長行台・中谷行,38,0,38,0,no,has_outside_stops
3444,西鉄バス,西鉄バス・６０・普通・淡島神社－伊川・恒見営行,11,0,11,0,no,has_outside_stops
3445,西鉄バス,西鉄バス・２８・普通・南小倉駅－井堀－浅生通・ＪＲ戸畑駅行,6,0,6,0,no,has_outside_stops
3448,西鉄バス,西鉄バス・２７・普通・小倉駅ＢＣ－明和町－黒原－湯川新町三・舞ケ丘団地行,22,0,22,0,no,has_outside_stops
3449,西鉄バス,西鉄バス・２７・普通・ＪＲ戸畑駅行,23,0,23,0,no,has_outside_stops
3450,西鉄バス,西鉄バス・２７・普通・井堀－南小倉駅－ソレイユ・砂津行,12,0,12,0,no,has_outside_stops
3454,西鉄バス,西鉄バス・８・普通・室見団地・室住団地行,12,12,0,0,yes,ok
3455,西鉄バス,西鉄バス・２０３・普通・室住団地行,2,2,0,0,yes,ok
3456,西鉄バス,西鉄バス・６８・普通・博多駅行,4,4,0,0,yes,ok
3467,西鉄バス,西鉄バス・７３・普通・二又瀬・流通Ｃ公園前行,13,12,1,0,no,has_outside_stops
3470,西鉄バス,西鉄バス・１－７・普通・姪浜駅南口行,19,19,0,0,yes,ok
3478,西鉄バス,西鉄バス・普通・竹下・ららぽーと福岡行,2,2,0,0,yes,ok
3479,西鉄バス,西鉄バス・Ｌ・普通・ららぽーと福岡行,13,13,0,0,yes,ok
